areacd,areanm,parentcd,xmin,ymin,xmax,ymax
E02000068,Erith East,E09000004,0.157,51.475,0.187,51.505
E02000069,Erith West,E09000004,0.146,51.476,0.176,51.489
E02000070,Lesnes Abbey,E09000004,0.121,51.473,0.154,51.491
E02000071,Northumberland Heath,E09000004,0.142,51.47,0.168,51.48
E02000072,Slade Green & Crayford Marshes,E09000004,0.175,51.456,0.218,51.483
E02000073,Bostall,E09000004,0.112,51.464,0.14,51.48
E02000074,Lesney Farm & Colyers East,E09000004,0.166,51.458,0.19,51.478
E02000075,Bursted Wood,E09000004,0.13,51.464,0.158,51.477
E02000077,St Michael's,E09000004,0.101,51.464,0.125,51.473
E02000078,Barnehurst North,E09000004,0.156,51.459,0.182,51.473
E02000079,Bexleyheath Broadway,E09000004,0.123,51.451,0.153,51.465
E02000080,Welling,E09000004,0.091,51.453,0.119,51.465
E02000081,Barnehurst South,E09000004,0.147,51.444,0.178,51.465
E02000082,Falconwood,E09000004,0.079,51.448,0.105,51.47
E02000083,Crayford,E09000004,0.162,51.441,0.204,51.464
E02000084,Danson Park,E09000004,0.114,51.442,0.143,51.464
E02000085,Blackfen,E09000004,0.099,51.441,0.124,51.457
E02000086,Lamorbey,E09000004,0.086,51.437,0.112,51.453
E02000087,Bexley Village,E09000004,0.13,51.429,0.171,51.453
E02000088,Albany Park,E09000004,0.106,51.432,0.142,51.447
E02000089,Longlands & Halfway,E09000004,0.075,51.43,0.098,51.445
E02000090,Sidcup West,E09000004,0.083,51.422,0.109,51.439
E02000091,Sidcup East,E09000004,0.092,51.414,0.132,51.436
E02000092,Foots Cray Meadows,E09000004,0.109,51.409,0.157,51.436
E02000093,Queensbury South,E09000005,-0.29,51.588,-0.262,51.6
E02000094,Kingsbury East,E09000005,-0.27,51.581,-0.248,51.596
E02000095,Kingsbury West,E09000005,-0.299,51.579,-0.261,51.591
E02000096,Kenton Woodcock Park,E09000005,-0.317,51.573,-0.29,51.587
E02000097,Kingsbury South,E09000005,-0.278,51.568,-0.251,51.585
E02000098,Barnhill The Avenue,E09000005,-0.299,51.565,-0.274,51.584
E02000099,Preston Park & East Lane,E09000005,-0.313,51.56,-0.29,51.578
E02000100,Northwick Park,E09000005,-0.331,51.561,-0.306,51.582
E02000101,Forty Lane,E09000005,-0.284,51.559,-0.258,51.574
E02000102,Welsh Harp,E09000005,-0.265,51.557,-0.235,51.573
E02000103,Dollis Hill,E09000005,-0.246,51.556,-0.221,51.573
E02000104,Wembley North,E09000005,-0.302,51.556,-0.279,51.57
E02000105,Sudbury East,E09000005,-0.322,51.552,-0.302,51.567
E02000106,Neasden,E09000005,-0.262,51.549,-0.239,51.565
E02000107,Cricklewood Anson Road,E09000005,-0.231,51.548,-0.208,51.562
E02000108,Sudbury West,E09000005,-0.336,51.551,-0.315,51.563
E02000109,Tokyngton,E09000005,-0.291,51.547,-0.265,51.563
E02000110,Dudden Hill,E09000005,-0.246,51.549,-0.219,51.558
E02000111,Wembley West,E09000005,-0.316,51.543,-0.295,51.56
E02000112,Wembley East,E09000005,-0.3,51.542,-0.269,51.559
E02000113,St Raphaels,E09000005,-0.275,51.543,-0.25,51.559
E02000114,Willesden Green,E09000005,-0.236,51.541,-0.218,51.551
E02000115,Brondesbury,E09000005,-0.222,51.541,-0.202,51.553
E02000116,Roundwood Park,E09000005,-0.247,51.537,-0.227,51.553
E02000117,Church End,E09000005,-0.257,51.538,-0.242,51.552
E02000118,Alperton East,E09000005,-0.299,51.535,-0.277,51.553
E02000119,Stonebridge,E09000005,-0.289,51.528,-0.255,51.548
E02000120,Kilburn West,E09000005,-0.208,51.535,-0.192,51.545
E02000121,Alperton West,E09000005,-0.313,51.532,-0.29,51.549
E02000122,Brondesbury Park,E09000005,-0.231,51.534,-0.209,51.547
E02000123,Harlesden,E09000005,-0.257,51.532,-0.234,51.542
E02000124,Queens Park,E09000005,-0.225,51.528,-0.199,51.543
E02000125,Kensal Green,E09000005,-0.239,51.53,-0.219,51.54
E02000126,Kilburn Park,E09000005,-0.204,51.528,-0.191,51.538
E02000127,Mottingham,E09000006,0.025,51.422,0.055,51.444
E02000128,Chislehurst North,E09000006,0.051,51.416,0.089,51.432
E02000130,Penge East,E09000006,-0.06,51.409,-0.033,51.425
E02000131,Crystal Palace Park,E09000006,-0.081,51.411,-0.056,51.426
E02000132,New Beckenham,E09000006,-0.04,51.406,-0.016,51.426
E02000133,Chislehurst West & Elmstead,E09000006,0.034,51.396,0.082,51.425
E02000134,Bromley North & Sundridge,E09000006,0.003,51.404,0.033,51.421
E02000135,Anerley North & Penge West,E09000006,-0.073,51.404,-0.051,51.419
E02000136,Chislehurst East & Hoblingwell Wood,E09000006,0.074,51.395,0.105,51.424
E02000137,Shortlands Bromley Road,E09000006,-0.016,51.396,0.007,51.419
E02000138,Beckenham East & Kelsey Park,E09000006,-0.03,51.395,-0.002,51.416
E02000139,Clock House & Cator Park,E09000006,-0.055,51.398,-0.032,51.42
E02000140,St Mary Cray North,E09000006,0.099,51.395,0.119,51.415
E02000141,Anerley South,E09000006,-0.069,51.399,-0.049,51.411
E02000142,Widmore,E09000006,0.019,51.395,0.045,51.414
E02000144,Bromley South,E09000006,0.002,51.388,0.028,51.409
E02000145,St Mary Cray East,E09000006,0.112,51.367,0.162,51.415
E02000146,Bickley West,E09000006,0.017,51.387,0.047,51.4
E02000147,Langley Park,E09000006,-0.018,51.386,0.012,51.403
E02000148,Bickley East,E09000006,0.042,51.379,0.083,51.405
E02000149,St Mary Cray South,E09000006,0.088,51.382,0.116,51.4
E02000150,Eden Park & Bethlem,E09000006,-0.047,51.377,-0.011,51.402
E02000151,Petts Wood,E09000006,0.064,51.377,0.092,51.396
E02000152,Bromley Common,E09000006,0.029,51.373,0.066,51.391
E02000153,Hayes North,E09000006,-0.003,51.376,0.031,51.393
E02000154,Orpington West,E09000006,0.082,51.367,0.109,51.391
E02000155,Orpington East,E09000006,0.098,51.37,0.131,51.388
E02000156,West Wickham,E09000006,-0.027,51.364,0.004,51.388
E02000157,Crofton,E09000006,0.056,51.365,0.09,51.381
E02000158,Goddington,E09000006,0.097,51.36,0.129,51.378
E02000159,Keston,E09000006,0.019,51.348,0.068,51.383
E02000160,Hayes South & Coney Hall,E09000006,-0.02,51.346,0.035,51.387
E02000161,Orpington South,E09000006,0.078,51.356,0.107,51.371
E02000162,Farnborough,E09000006,0.041,51.322,0.099,51.368
E02000163,Chelsfield & Green Street Green,E09000006,0.085,51.32,0.148,51.372
E02000165,Biggin Hill West,E09000006,0.002,51.292,0.037,51.332
E02000166,Highgate West,E09000007,-0.173,51.553,-0.141,51.573
E02000167,Hampstead Town,E09000007,-0.19,51.554,-0.159,51.571
E02000168,Tufnell Park West,E09000007,-0.15,51.549,-0.135,51.562
E02000169,Frognal,E09000007,-0.197,51.55,-0.176,51.563
E02000170,Fortune Green,E09000007,-0.213,51.55,-0.189,51.559
E02000171,Mansfield Road & Park Hill Road,E09000007,-0.166,51.546,-0.151,51.556
E02000172,Kentish Town West,E09000007,-0.16,51.545,-0.135,51.555
E02000173,Fitzjohns & Royal Free,E09000007,-0.184,51.544,-0.162,51.555
E02000174,Kentish Town East,E09000007,-0.142,51.543,-0.129,51.555
E02000175,West Hampstead,E09000007,-0.199,51.545,-0.18,51.553
E02000176,Belsize Park,E09000007,-0.175,51.543,-0.162,51.552
E02000177,Chalk Farm,E09000007,-0.161,51.543,-0.146,51.55
E02000178,Kilburn Grange,E09000007,-0.208,51.54,-0.192,51.553
E02000179,Adelaide Road,E09000007,-0.173,51.542,-0.158,51.549
E02000180,Camden Road South,E09000007,-0.14,51.541,-0.125,51.549
E02000181,South Hampstead,E09000007,-0.196,51.541,-0.18,51.547
E02000182,Swiss Cottage,E09000007,-0.183,51.536,-0.16,51.547
E02000183,Primrose Hill,E09000007,-0.162,51.536,-0.142,51.545
E02000184,Camden Street & Elm Village,E09000007,-0.145,51.534,-0.128,51.545
E02000185,Kilburn East,E09000007,-0.196,51.535,-0.178,51.542
E02000186,Camden Town & Mornington Crescent,E09000007,-0.153,51.524,-0.135,51.542
E02000187,Somers Town,E09000007,-0.139,51.527,-0.122,51.542
E02000188,Euston,E09000007,-0.145,51.526,-0.131,51.534
E02000189,Gray's Inn Road,E09000007,-0.124,51.524,-0.113,51.531
E02000190,Bloomsbury East,E09000007,-0.131,51.523,-0.118,51.53
E02000191,Fitzrovia East & Bloomsbury West,E09000007,-0.144,51.517,-0.126,51.527
E02000192,Hatton Garden & Theobalds Road,E09000007,-0.122,51.518,-0.105,51.525
E02000193,"Holborn, St Giles & Bloomsbury South",E09000007,-0.133,51.513,-0.11,51.525
E02000194,Crystal Palace Triangle,E09000008,-0.099,51.409,-0.073,51.423
E02000195,Upper Norwood,E09000008,-0.12,51.407,-0.092,51.423
E02000196,Norbury East,E09000008,-0.125,51.402,-0.106,51.418
E02000197,Norbury West,E09000008,-0.132,51.399,-0.117,51.415
E02000198,Thornton Heath North West,E09000008,-0.11,51.399,-0.087,51.413
E02000199,Thornton Heath North East,E09000008,-0.098,51.397,-0.083,51.409
E02000200,South Norwood Hill,E09000008,-0.087,51.393,-0.072,51.411
E02000201,South Norwood Central,E09000008,-0.077,51.393,-0.059,51.407
E02000202,Thornton Heath West,E09000008,-0.119,51.392,-0.104,51.405
E02000203,Thornton Heath Central,E09000008,-0.108,51.39,-0.083,51.402
E02000204,West Thornton North,E09000008,-0.128,51.389,-0.107,51.402
E02000206,Selhurst North,E09000008,-0.1,51.381,-0.077,51.397
E02000207,Woodside & Ashburton,E09000008,-0.081,51.381,-0.051,51.397
E02000208,University Hospital & Queen's Road,E09000008,-0.118,51.383,-0.097,51.394
E02000209,West Thornton South & Ampere Way,E09000008,-0.134,51.379,-0.114,51.395
E02000210,Addiscombe North,E09000008,-0.087,51.379,-0.071,51.39
E02000211,Monks Orchard,E09000008,-0.058,51.374,-0.037,51.392
E02000212,Broad Green & Waddon Marsh,E09000008,-0.128,51.374,-0.105,51.387
E02000213,Selhurst South & West Croydon,E09000008,-0.112,51.375,-0.091,51.388
E02000214,Addiscombe East,E09000008,-0.075,51.374,-0.053,51.386
E02000215,Addiscombe West,E09000008,-0.093,51.375,-0.073,51.385
E02000216,Park Hill & Lloyd Park,E09000008,-0.093,51.363,-0.063,51.376
E02000217,Croydon Minster & Waddon North,E09000008,-0.125,51.366,-0.1,51.379
E02000218,Shirley East,E09000008,-0.042,51.365,-0.023,51.379
E02000219,Shirley West,E09000008,-0.069,51.351,-0.02,51.381
E02000220,Central Croydon,E09000008,-0.106,51.359,-0.084,51.38
E02000221,Waddon South,E09000008,-0.125,51.345,-0.098,51.371
E02000222,Croham,E09000008,-0.101,51.35,-0.069,51.365
E02000223,New Addington North,E09000008,-0.031,51.347,-0.011,51.361
E02000224,Purley North,E09000008,-0.111,51.341,-0.089,51.357
E02000225,New Addington Central,E09000008,-0.028,51.338,-0.002,51.357
E02000226,Selsdon,E09000008,-0.08,51.34,-0.051,51.363
E02000227,Forestdale,E09000008,-0.058,51.33,-0.011,51.364
E02000228,Sanderstead,E09000008,-0.1,51.33,-0.068,51.353
E02000229,New Addington South,E09000008,-0.018,51.329,0.003,51.345
E02000230,Purley Central,E09000008,-0.131,51.328,-0.095,51.35
E02000231,Woodcote,E09000008,-0.149,51.321,-0.117,51.347
E02000232,Selsdon Park & Hamsey Green,E09000008,-0.083,51.319,-0.041,51.342
E02000233,Kenley North,E09000008,-0.119,51.313,-0.096,51.334
E02000234,Coulsdon,E09000008,-0.146,51.31,-0.111,51.334
E02000235,Kenley South,E09000008,-0.113,51.3,-0.076,51.34
E02000236,Woodmansterne,E09000008,-0.162,51.296,-0.129,51.323
E02000237,Old Coulsdon,E09000008,-0.136,51.287,-0.094,51.316
E02000238,Whitton Avenue West,E09000009,-0.362,51.546,-0.337,51.56
E02000239,Horsenden,E09000009,-0.341,51.542,-0.307,51.557
E02000240,Northolt West,E09000009,-0.395,51.541,-0.354,51.557
E02000241,Northolt East,E09000009,-0.377,51.54,-0.349,51.552
E02000242,Bilton Road,E09000009,-0.324,51.533,-0.305,51.545
E02000243,Greenford North,E09000009,-0.366,51.527,-0.328,51.548
E02000244,Perivale,E09000009,-0.338,51.529,-0.303,51.542
E02000245,Northolt South,E09000009,-0.399,51.529,-0.373,51.548
E02000246,Kingshill Avenue,E09000009,-0.42,51.531,-0.381,51.543
E02000247,Greenford West,E09000009,-0.381,51.529,-0.356,51.542
E02000248,Hanger Hill East,E09000009,-0.306,51.521,-0.278,51.539
E02000249,Greenford South,E09000009,-0.362,51.515,-0.344,51.538
E02000250,Pitshanger,E09000009,-0.32,51.521,-0.298,51.532
E02000251,Greenford Ravenor Park,E09000009,-0.373,51.518,-0.355,51.532
E02000252,North Acton,E09000009,-0.284,51.514,-0.245,51.535
E02000253,Cuckoo Park,E09000009,-0.347,51.514,-0.326,51.531
E02000254,Southall North,E09000009,-0.383,51.515,-0.364,51.53
E02000255,Drayton Green & Cleveland,E09000009,-0.336,51.512,-0.311,51.532
E02000256,Ealing Broadway West,E09000009,-0.323,51.511,-0.305,51.523
E02000257,Ealing Broadway East,E09000009,-0.309,51.508,-0.279,51.526
E02000258,Acton Noel Road & Lynton Road,E09000009,-0.289,51.51,-0.262,51.524
E02000259,Brent Valley,E09000009,-0.352,51.511,-0.33,51.528
E02000260,Southall Park,E09000009,-0.382,51.506,-0.361,51.519
E02000261,East Acton,E09000009,-0.264,51.504,-0.245,51.521
E02000262,Acton Central,E09000009,-0.279,51.504,-0.261,51.515
E02000263,Southall West,E09000009,-0.404,51.503,-0.376,51.518
E02000264,Ealing Common & Twyford Ave,E09000009,-0.296,51.501,-0.274,51.516
E02000265,West Ealing,E09000009,-0.335,51.502,-0.313,51.514
E02000266,Norwood Green North & Windmill Park,E09000009,-0.379,51.496,-0.335,51.522
E02000267,Hanwell,E09000009,-0.345,51.501,-0.33,51.512
E02000268,St Mary's,E09000009,-0.313,51.498,-0.29,51.513
E02000269,Northfields,E09000009,-0.323,51.498,-0.305,51.513
E02000270,South Acton,E09000009,-0.284,51.497,-0.264,51.507
E02000271,Bedford Park,E09000009,-0.265,51.495,-0.251,51.507
E02000272,Elthorne Park,E09000009,-0.344,51.495,-0.315,51.505
E02000274,Southall Green,E09000009,-0.407,51.495,-0.379,51.506
E02000275,Norwood Green South,E09000009,-0.383,51.491,-0.358,51.505
E02000276,South Ealing,E09000009,-0.325,51.492,-0.298,51.501
E02000277,Bullsmoor & Freezywater,E09000010,-0.044,51.671,-0.027,51.683
E02000278,Turkey Street,E09000010,-0.054,51.667,-0.036,51.684
E02000279,Enfield Lock,E09000010,-0.038,51.662,-0.01,51.682
E02000280,Chase & Crews Hill,E09000010,-0.164,51.661,-0.049,51.692
E02000281,Carterhatch & Forty Hall,E09000010,-0.081,51.656,-0.053,51.676
E02000282,Enfield Wash,E09000010,-0.057,51.655,-0.032,51.672
E02000283,Brimsdown Avenue,E09000010,-0.045,51.654,-0.027,51.668
E02000284,Chase Side,E09000010,-0.104,51.652,-0.074,51.665
E02000285,Enfield Town North,E09000010,-0.083,51.652,-0.064,51.666
E02000286,Chase Farm & The Ridgeway,E09000010,-0.113,51.649,-0.086,51.673
E02000287,Cockfosters & Hadley Wood,E09000010,-0.186,51.642,-0.121,51.686
E02000288,Southbury East,E09000010,-0.068,51.642,-0.035,51.66
E02000289,World's End,E09000010,-0.13,51.642,-0.096,51.667
E02000290,Brimsdown & Ponders End,E09000010,-0.046,51.637,-0.009,51.667
E02000291,Enfield Town South & Bush Hill Park,E09000010,-0.086,51.639,-0.06,51.652
E02000292,Southbury West,E09000010,-0.074,51.633,-0.051,51.662
E02000293,Grange Park,E09000010,-0.112,51.636,-0.078,51.652
E02000294,Ponders End South,E09000010,-0.057,51.631,-0.015,51.644
E02000295,Oakwood Park & Highlands,E09000010,-0.132,51.631,-0.109,51.648
E02000296,Southgate,E09000010,-0.146,51.626,-0.123,51.655
E02000297,Bury Street West & Village Road,E09000010,-0.095,51.628,-0.066,51.643
E02000298,Winchmore Hill,E09000010,-0.12,51.625,-0.089,51.641
E02000299,Lower Edmonton North,E09000010,-0.062,51.626,-0.044,51.637
E02000300,Haslebury North,E09000010,-0.074,51.625,-0.056,51.639
E02000301,Lower Edmonton South,E09000010,-0.06,51.619,-0.015,51.636
E02000302,Palmers Green East,E09000010,-0.102,51.617,-0.078,51.632
E02000303,Haslebury South,E09000010,-0.079,51.615,-0.061,51.632
E02000304,Southgate Green,E09000010,-0.134,51.613,-0.112,51.632
E02000305,Palmers Green West,E09000010,-0.116,51.617,-0.099,51.631
E02000306,Edmonton Green,E09000010,-0.066,51.611,-0.026,51.627
E02000307,Tatem Park,E09000010,-0.101,51.615,-0.072,51.629
E02000308,New Southgate & Arnos Grove,E09000010,-0.145,51.609,-0.124,51.624
E02000309,Upper Edmonton East & Meridian Water,E09000010,-0.069,51.606,-0.034,51.619
E02000311,Bowes,E09000010,-0.11,51.608,-0.081,51.618
E02000312,Broomfield Park,E09000010,-0.128,51.608,-0.102,51.622
E02000313,Thamesmead Birchmere Park,E09000011,0.106,51.497,0.121,51.508
E02000314,West Thamesmead,E09000011,0.082,51.49,0.121,51.511
E02000315,Abbey Wood North,E09000011,0.102,51.488,0.121,51.501
E02000316,"Woolwich Dockyard, Arsenal & Charlton Riverside",E09000011,0.029,51.488,0.079,51.496
E02000317,Woolwich West,E09000011,0.041,51.484,0.062,51.493
E02000318,Plumstead High Street,E09000011,0.085,51.482,0.106,51.495
E02000319,Plumstead Common & Riverside,E09000011,0.076,51.48,0.091,51.499
E02000320,Abbey Wood South,E09000011,0.104,51.476,0.124,51.491
E02000321,Woolwich Glyndon,E09000011,0.073,51.481,0.084,51.493
E02000323,Woolwich South,E09000011,0.063,51.478,0.08,51.49
E02000324,Charlton Village,E09000011,0.029,51.475,0.052,51.489
E02000326,Charlton Slopes,E09000011,0.02,51.476,0.036,51.487
E02000327,Woolwich Common,E09000011,0.047,51.471,0.07,51.488
E02000328,Westcombe Park & Maze Hill,E09000011,0.001,51.475,0.024,51.484
E02000329,Plumstead South,E09000011,0.069,51.462,0.098,51.481
E02000331,Hornfair Park,E09000011,0.024,51.47,0.051,51.48
E02000332,Shooters Hill,E09000011,0.053,51.463,0.085,51.481
E02000333,Blackheath Standard & Village,E09000011,0.008,51.464,0.029,51.48
E02000334,Kidbrooke North,E09000011,0.025,51.462,0.055,51.474
E02000335,Eltham North,E09000011,0.047,51.457,0.083,51.468
E02000337,Eltham West,E09000011,0.03,51.451,0.052,51.466
E02000339,Eltham Park,E09000011,0.048,51.451,0.074,51.463
E02000340,Eltham South,E09000011,0.044,51.438,0.087,51.459
E02000341,Middlepark & Horn Park,E09000011,0.021,51.44,0.05,51.453
E02000342,Avery Hill,E09000011,0.069,51.434,0.088,51.451
E02000343,Mottingham East,E09000011,0.04,51.425,0.063,51.442
E02000344,New Eltham,E09000011,0.057,51.424,0.076,51.439
E02000345,Stamford Hill North,E09000012,-0.078,51.57,-0.059,51.578
E02000346,Woodberry Down & Manor House,E09000012,-0.098,51.566,-0.08,51.576
E02000347,Stamford Hill West,E09000012,-0.089,51.565,-0.074,51.576
E02000348,Stamford Hill South,E09000012,-0.077,51.565,-0.057,51.575
E02000350,Stoke Newington East & Cazenove,E09000012,-0.073,51.558,-0.059,51.57
E02000351,Brownswood,E09000012,-0.105,51.56,-0.091,51.569
E02000352,Clissold North,E09000012,-0.092,51.557,-0.076,51.568
E02000353,Stoke Newington North,E09000012,-0.085,51.556,-0.069,51.567
E02000354,Hackney Downs,E09000012,-0.069,51.552,-0.053,51.563
E02000355,Lower Clapton,E09000012,-0.057,51.552,-0.044,51.562
E02000356,Clissold South,E09000012,-0.09,51.552,-0.079,51.559
E02000357,Hackney Marshes,E09000012,-0.046,51.55,-0.017,51.562
E02000358,Stoke Newington South,E09000012,-0.085,51.549,-0.068,51.561
E02000359,Homerton North,E09000012,-0.047,51.548,-0.035,51.557
E02000360,Amhurst Road & Pembury Estate,E09000012,-0.075,51.546,-0.055,51.556
E02000361,Hackney Central,E09000012,-0.065,51.543,-0.046,51.553
E02000362,Hackney Wick,E09000012,-0.042,51.542,-0.016,51.552
E02000363,Homerton South,E09000012,-0.055,51.541,-0.038,51.552
E02000364,Dalston East,E09000012,-0.075,51.539,-0.055,51.551
E02000365,Dalston Kingsland & De Beauvoir,E09000012,-0.085,51.536,-0.064,51.551
E02000366,South Hackney,E09000012,-0.053,51.535,-0.036,51.545
E02000367,London Fields & Mare Street,E09000012,-0.065,51.534,-0.046,51.544
E02000368,Haggerston East,E09000012,-0.075,51.53,-0.061,51.541
E02000369,Haggerston West & Kingsland Basin,E09000012,-0.09,51.532,-0.071,51.541
E02000370,Hoxton North & West,E09000012,-0.097,51.528,-0.083,51.536
E02000371,Shoreditch & Hoxton South East,E09000012,-0.091,51.52,-0.072,51.533
E02000372,Old Oak & Wormwood,E09000013,-0.253,51.509,-0.22,51.533
E02000373,White City,E09000013,-0.241,51.507,-0.227,51.515
E02000374,Wormholt Road,E09000013,-0.249,51.506,-0.235,51.514
E02000375,Shepherd's Bush North,E09000013,-0.235,51.502,-0.215,51.512
E02000376,Shepherd's Bush West,E09000013,-0.236,51.501,-0.224,51.508
E02000377,Askew,E09000013,-0.247,51.5,-0.232,51.507
E02000378,Shepherd's Bush South,E09000013,-0.227,51.498,-0.214,51.505
E02000379,Ravenscourt Park North,E09000013,-0.255,51.494,-0.238,51.505
E02000380,Brackenbury,E09000013,-0.235,51.494,-0.226,51.502
E02000381,Brook Green,E09000013,-0.226,51.493,-0.21,51.501
E02000382,Ravenscourt Park South,E09000013,-0.246,51.489,-0.232,51.501
E02000383,West Kensington,E09000013,-0.22,51.491,-0.202,51.498
E02000384,Hammersmith Broadway,E09000013,-0.235,51.487,-0.218,51.498
E02000385,Barons Court,E09000013,-0.222,51.484,-0.205,51.491
E02000386,North End,E09000013,-0.21,51.482,-0.196,51.492
E02000387,Lillie Road & Greyhound Road,E09000013,-0.222,51.481,-0.208,51.489
E02000388,Fulham Broadway,E09000013,-0.207,51.479,-0.191,51.487
E02000389,Fulham Reach,E09000013,-0.228,51.473,-0.215,51.489
E02000390,Fulham Aintree,E09000013,-0.218,51.477,-0.204,51.484
E02000391,Parsons Green East & Eel Brook Common,E09000013,-0.201,51.471,-0.185,51.483
E02000392,Parsons Green West,E09000013,-0.21,51.471,-0.196,51.481
E02000393,Munster,E09000013,-0.218,51.472,-0.208,51.482
E02000394,Sands End & Chelsea Harbour,E09000013,-0.192,51.466,-0.179,51.479
E02000395,Fulham Palace & Hurlingham Park,E09000013,-0.223,51.465,-0.197,51.476
E02000396,South Park,E09000013,-0.201,51.465,-0.187,51.474
E02000397,Bowes Park,E09000014,-0.126,51.601,-0.11,51.61
E02000398,Northumberland Park,E09000014,-0.067,51.597,-0.041,51.609
E02000400,Bounds Green,E09000014,-0.143,51.598,-0.116,51.611
